
"AMD uProf (Version:5.3.280.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/eshan/dev/js/target/release/js"
Command Line Arguments:,"target/release/js"
Working Directory:,"/home/eshan/dev/AMDuProf_Linux_x64_5.3.280/bin"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(256)"
Operating System:,"Linux Ubuntu 24.04.1 LTS-64 Kernel:6.8.0-85-generic"
Collect Command:,"./AMDuProfCLI collect --config hotspots -o /home/eshan/dev/sessions/ --pid 3425504"
Report Command:,"./AMDuProfCLI report --inline --detail -g --cutoff 0 -i /home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"

PROFILE DETAILS
Profile Session Type:,"Hotspots"
Profile Scope:,"Single Application"
CPU Mask:,"0-255"
CPU Affinity Mask:,"0-255"
Profile Start Time:,"Mon Feb 23 11:01:17 2026"
Profile End Time:,"Mon Feb 23 11:01:53 2026"
Profile Duration:,"35.798 seconds"
Data Folder:,"/home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"
Virtual Machine:,"No"
Call Stack Sampling:,"False"
Selected View:,"Time based hotspots"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","10.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."


APPLICATION PERFORMANCE SNAPSHOT
Thread Count,"1"


"HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME" (seconds),Module
"[inlined] _compound_head",0.0300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN4core3fmt3num3imp21_$LT$impl$u20$u64$GT$10_fmt_inner17h8cf5f178c169705dE",0.0300,"/home/eshan/dev/js/target/release/js"
"[inlined] mem_cgroup_from_task",0.0300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_int_free_maybe_consolidate",0.0300,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"_ZN80_$LT$serde_json..de..MapAccess$LT$R$GT$$u20$as$u20$serde_core..de..MapAccess$GT$13next_key_seed12has_next_key17h682b3ac4327e7637E.llvm.6089437461344032786",0.0300,"/home/eshan/dev/js/target/release/js"
"_RNvCshXwFllX56pT_7___rustc35___rust_no_alloc_shim_is_unstable_v2",0.0300,"/home/eshan/dev/js/target/release/js"
"[inlined] arch_atomic_try_cmpxchg",0.0300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN4core3ptr45drop_in_place$LT$serde_json..value..Value$GT$17h2797f972acfc5086E.llvm.2658051192602730804",0.0300,"/home/eshan/dev/js/target/release/js"
"free_unref_page_list",0.0300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"cgroup_rstat_updated",0.0300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"get_pfnblock_flags_mask",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN58_$LT$alloc..string..String$u20$as$u20$core..fmt..Write$GT$9write_str17ha38825392b5d2954E",0.0200,"/home/eshan/dev/js/target/release/js"
"percpu_counter_add_batch",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN38_$LT$u64$u20$as$u20$itoa..Unsigned$GT$3fmt17hb77982d20e205980E",0.0200,"/home/eshan/dev/js/target/release/js"
"[inlined] sanitize_fault_flags",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"try_charge_memcg",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"folio_add_new_anon_rmap",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"alloc_pages_mpol",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"task_mm_cid_work",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] vma_pkey",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] arch_local_save_flags",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
